ALMEMO;BEREICH:;;L840;L840;D2.6;D2.6
5690-2;KOMMENTAR:;;;;;
SD3.12;GW-MAX:;;;;;
BLAS180E.001;GW-MIN:;;;;;
DATUM:;ZEIT:;;M01: ms;M02: ms;M11: Pa;M12: Pa
;14:44:33;;12,8;8,6;97,2;44,1
;14:44:34;;13;8,1;97,2;60,5
;14:44:35;;12,8;9,9;98,3;47,8
;14:44:36;;12,6;9,9;103,6;42,2
;14:44:37;;12,7;2,7;102;56,7
;14:44:38;;12,7;10,3;106,2;38,8
;14:44:39;;12,8;10,6;93,9;66,2
;14:44:40;;12,6;8,8;97,1;27,4
;14:44:41;;12,5;9,9;94,5;62,3
;14:44:42;;13,3;8,1;96,6;34,9
;14:44:43;;12,7;8,5;97,7;62,6
;14:44:44;;12,7;10,1;101,6;52,2
;14:44:45;;12,7;7,6;97,3;56,5
;14:44:46;;12,8;9,5;98,9;72,6
;14:44:47;;12,9;9;97,7;21
;14:44:48;;12,5;9,4;103,1;57,2
;14:44:49;;13;5,5;96,2;77
;14:44:50;;12,5;10,3;94,4;69,7
;14:44:51;;12,9;9,1;105,3;93,3
;14:44:52;;12,6;9,5;92,2;46,1
;14:44:53;;12,9;7,9;93,4;56,4
;14:44:54;;12,8;10,3;89;54,4
;14:44:55;;13;8,1;102,9;63,4
;14:44:56;;12,7;10,4;99,5;52,2
;14:44:57;;12,6;7,6;87,3;86,6
;14:44:58;;12,8;5,5;93,2;52,8
;14:44:59;;13;9;97,3;51,5
;14:45:00;;13,2;7,4;94,5;69
;14:45:01;;12,5;9,7;99,8;42,2
;14:45:02;;12,8;10,6;91,9;74
;14:45:03;;11,9;11;99;50,5
;14:45:04;;12,9;10,2;103,7;36,4
;14:45:05;;12,4;10,2;104,1;32,4
;14:45:06;;12,6;6,8;97,2;63,8
;14:45:07;;13;7,4;97,2;36,3
;14:45:08;;12,8;10,5;103;54,2
;14:45:09;;12,9;8;93,8;50,7
;14:45:10;;13,2;9;100,6;28,2
;14:45:11;;12,3;10,8;100,1;70,8
;14:45:12;;12,9;10,5;98,7;34,7
;14:45:13;;12,6;10,5;87;57,6
;14:45:14;;12,5;11,2;101,8;24
;14:45:15;;12,8;9,5;97,1;35,8
;14:45:16;;12;7,8;91,6;38
;14:45:17;;12,8;8,3;92,4;67,2
;14:45:18;;12,9;9,4;96,7;64,8
;14:45:19;;13,5;9,3;100,2;93,5
;14:45:20;;13;7,6;92,7;82,5
;14:45:21;;12,9;9,6;95,6;42,6
;14:45:22;;12,6;8,9;93,4;67
;14:45:23;;13,2;8,3;94,3;59,4
;14:45:24;;13;7,5;96,1;64,1
;14:45:25;;13;10,2;90,5;51,7
;14:45:26;;12,9;9,4;94,6;65,3
;14:45:27;;12,7;8,5;102,8;44,6
;14:45:28;;12,6;11;99,8;68
;14:45:29;;12,5;8,6;98,4;47,3
;14:45:30;;12,7;9,9;91,6;48,3
;14:45:31;;12,5;9,4;92,3;87,8
;14:45:32;;13,1;8,5;91,9;54,3
;14:45:33;;12,8;8;97,5;59,6
;14:45:34;;12,3;9,1;98;50,7
;14:45:35;;12,8;9,8;90;23,6
;14:45:36;;12,4;12,4;93,7;50
;14:45:37;;12,8;9,6;98,8;79,7
;14:45:38;;12,7;6,4;99,1;59,5
;14:45:39;;12,3;9,5;103;65,7
;14:45:40;;12,5;8,7;97,7;43,8
;14:45:41;;12,8;9;101,7;54,3
;14:45:42;;12,5;10;93,1;41,4
;14:45:43;;12,7;10,1;101,4;57,3
;14:45:44;;12,8;11,4;98,2;47,2
;14:45:45;;12,9;10,6;90;69,4
;14:45:46;;12,4;9,3;99,8;41,8
;14:45:47;;12,3;10,3;101,1;45,8
;14:45:48;;12,5;9,8;96,6;22,7
;14:45:49;;12,9;9,3;96,6;71
;14:45:50;;12,7;7,4;90,3;63,8
;14:45:51;;12,6;9,8;100;32,1
;14:45:52;;12,3;11,4;100,3;84,2
;14:45:53;;13;9;96,4;63,7
;14:45:54;;12,6;10,5;101,9;27,2
;14:45:55;;12,5;11,6;93,6;26,8
;14:45:56;;12,8;9,6;93,3;66,3
;14:45:57;;12,4;11,2;101,4;40,1
;14:45:58;;12,4;10,2;88,7;67
;14:45:59;;12,5;7,5;94;36,1
;14:46:00;;12,7;8,6;95,3;43,3
;14:46:01;;12,7;11,2;94,8;76,1
;14:46:02;;12,5;11,1;86;51,9
;14:46:03;;12,7;12,7;104,1;40,5
;14:46:04;;13,1;10,1;96,6;34,7
;14:46:05;;12,5;7,4;106,8;25,7
;14:46:06;;13,5;8,6;99,6;60
;14:46:07;;12,8;12,3;96,5;42,4
;14:46:08;;12,8;9,5;97,7;59,1
;14:46:09;;12,9;7,7;94,5;48,6
;14:46:10;;13;10,6;97,8;28,5
;14:46:11;;13,1;9,5;99,8;41,4
;14:46:12;;12,6;7,8;101,6;35,2
;14:46:13;;12,7;6,5;93,6;76,6
;14:46:14;;12,7;9,8;101,7;35,3
;14:46:15;;13;10,1;95,6;60,6
;14:46:16;;12,7;9,8;92;35,4
;14:46:17;;12,7;8,1;96,7;57,4
;14:46:18;;12,8;10;91,9;70,1
;14:46:19;;12,8;7,3;96,3;49,1
;14:46:20;;13,4;8,2;95,6;49,3
;14:46:21;;12,8;6,2;101,7;54,7
;14:46:22;;12,7;10,4;94;54,7
;14:46:23;;12,8;7,9;98,6;41,6
;14:46:24;;13;11,1;96,1;40,8
;14:46:25;;12,7;10,9;95;40,6
;14:46:26;;13;6,5;90;73,8
;14:46:27;;12,2;10,6;96,6;66,6
;14:46:28;;12,9;11,3;92,7;36,6
;14:46:29;;12,3;4;91,7;66,2
;14:46:30;;13,2;8,8;94,7;46,8
;14:46:31;;12,3;10,8;98,5;62
;14:46:32;;12,9;10,2;101;62,8
;14:46:33;;12,7;9,7;97,7;64
;14:46:34;;13,1;9,5;95,4;62
;14:46:35;;12,7;9,1;106;52,1
;14:46:36;;12,8;10,6;104,2;37,7
;14:46:37;;12,6;11,4;96,9;77,9
;14:46:38;;12,2;10;97,5;40,4
;14:46:39;;12,4;9,8;104,8;35,2
;14:46:40;;12,8;7,9;91,6;35,8
;14:46:41;;12,8;8,5;97,4;51,7
;14:46:42;;12,8;9;96,1;36,6
;14:46:43;;12,5;9,9;99,1;51,7
;14:46:44;;12,6;9,2;96,6;20,1
;14:46:45;;12,5;7,2;96,6;55,3
;14:46:46;;13,1;9,4;99,1;30,7
;14:46:47;;13;9,2;100,9;74,2
;14:46:48;;13;5,7;98,9;41,3
;14:46:49;;12,8;10,3;96,4;63,3
;14:46:50;;12,5;8,3;103,3;46,1
;14:46:51;;13;9,3;97,8;33,7
;14:46:52;;13,5;8,1;95,3;28,8
;14:46:53;;12,7;7,8;94,7;37,7
;14:46:54;;12,4;8,7;97,5;36,6
;14:46:55;;12,7;8;104,7;54,8
;14:46:56;;13,1;8,7;95;22,1
;14:46:57;;13,4;7,2;94,4;36,3
;14:46:58;;12,3;8,1;97,4;49,8
;14:46:59;;12,6;9;101,1;64,5
;14:47:00;;12,3;10,8;95;39,7
;14:47:01;;13,2;8,3;89,4;49,4
;14:47:02;;12,6;9,8;97,2;28,8
;14:47:03;;12,5;9,4;99,8;52,4
;14:47:04;;12,2;11,1;103,4;36,9
;14:47:05;;12,8;10,8;93,9;50,3
;14:47:06;;13;9,7;100;55,5
;14:47:07;;13,1;9,1;98,9;43,3
;14:47:08;;13,4;9,1;93,4;47,9
;14:47:09;;12,7;7,8;96,5;51,7
;14:47:10;;13;9,7;92,4;42
;14:47:11;;12,6;6,8;98,6;38,8
;14:47:12;;12,3;8,8;92,1;30,1
;14:47:13;;13,1;10,9;98;41,8
;14:47:14;;12,5;9,5;95,3;46,7
;14:47:15;;12,7;10;88;64,8
;14:47:16;;13,3;8,5;92,7;68,6
;14:47:17;;12,7;10;92,1;42,3
;14:47:18;;13;9;92,2;56,3
;14:47:19;;13;9,2;96,7;67,6
;14:47:20;;13,1;10,1;98;54,2
;14:47:21;;13;10,9;95,9;75,6
;14:47:22;;13,1;8,4;104,1;38
;14:47:23;;12,8;10;98,3;62
;14:47:24;;12,8;10,1;96,7;66,8
;14:47:25;;12,8;9,7;104,9;61,7
;14:47:26;;12,8;10,4;100,1;61,5
;14:47:27;;13,2;7,2;96,9;62,3
;14:47:28;;12,9;9,1;94,8;28,4
;14:47:29;;12,6;9,9;98,6;45,2
;14:47:30;;12,6;8,6;98,5;47,3
;14:47:31;;12,4;11,6;97,4;58,4
;14:47:32;;12,7;8,6;92,4;38,1
;14:47:33;;13,3;10,8;103,9;40,6
;14:47:34;;12,6;9,4;97,1;30,1
;14:47:35;;12,9;7;93,4;63,2
;14:47:36;;12,8;9,1;103,3;41,9
;14:47:37;;12,9;7,3;91,9;61,5
;14:47:38;;12,8;9,9;93,4;52,2
;14:47:39;;12,4;9,7;93,1;75,7
;14:47:40;;12,7;8,5;96,5;57,8
;14:47:41;;12,5;7,7;97,9;54,6
;14:47:42;;12,8;8,9;97,7;61,7
;14:47:43;;12,6;7,7;96;48,7
;14:47:44;;13,3;10,9;103;46,8
;14:47:45;;12,5;8,9;90;61,9
;14:47:46;;13;9,6;96,6;23,1
;14:47:47;;13;7;91,2;39,1
;14:47:48;;12,2;7,7;95,5;24,5
;14:47:49;;12,8;9,4;99,2;73,2
;14:47:50;;12,7;8,2;95;49,5
;14:47:51;;12,7;9,1;96,6;78,2
;14:47:52;;12,8;10,8;95,6;46
;14:47:53;;12,7;9,1;102,4;65,9
;14:47:54;;13;11,1;95,3;53
;14:47:55;;12,7;11,2;101,6;63,7
;14:47:56;;13,4;9;97,7;56,4
;14:47:57;;12,6;10,1;94,4;44,6
;14:47:58;;12,8;10;97,7;33,3
;14:47:59;;12,8;8;101,5;51,3
;14:48:00;;13,2;9,3;99,1;84,6
;14:48:01;;12,8;8,7;94,7;48,9
;14:48:02;;12,7;11,4;96,8;70,5
;14:48:03;;12,5;11,6;94,2;54,7
;14:48:04;;13,1;10,9;89,6;59
;14:48:05;;12,8;10,5;91,7;70,4
;14:48:06;;12,9;7,4;97,6;62,7
;14:48:07;;12,9;9,2;96,7;47,8
;14:48:08;;12,6;8,1;100,9;40,5
;14:48:09;;12,7;10,2;92,4;52,6
;14:48:10;;12,6;9,7;99,9;34,9
;14:48:11;;13,3;10,9;94;48,4
;14:48:12;;12,3;9,9;91,1;64,9
;14:48:13;;12,7;9;100,5;41,3
;14:48:14;;12,3;6,6;97,6;52,5
;14:48:15;;12,5;9,2;97,9;46,2
;14:48:16;;12,6;6,4;103;66,5
;14:48:17;;12,7;11,2;90,5;47,3
;14:48:18;;12;10,8;94;74,4
;14:48:19;;13,2;7,6;88,9;51,9
;14:48:20;;12,7;10,9;98,3;50
;14:48:21;;12,9;7,7;96,1;54,6
;14:48:22;;12,8;10;95,9;45
;14:48:23;;12,6;8,2;93,4;37,4
;14:48:24;;13,3;5,3;102,8;30,4
;14:48:25;;12,8;10,8;96,9;35,2
;14:48:26;;12,6;6,7;102,3;58,1
;14:48:27;;12,3;11,8;93,8;69,2
;14:48:28;;12,9;9,9;96,4;54,2
;14:48:29;;12,6;9,3;104,5;43,7
